zone,state,city,name,type,establishment_year,time_needed_to_visit_in_hrs,google_review_rating,entrance_fee_in_inr,airport_with_50km_radius,weekly_off,significance,dslr_allowed,number_of_google_review_in_lakhs,best_time_to_visit,score,features,uniq_id
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,Monday,Sports,Yes,0.1,All,8.35,Cricket Ground Sports All,48
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,Yes,Monday,Wildlife,Yes,0.66,Afternoon,9.59,Zoo Wildlife Afternoon,49
Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,Monday,Educational,Yes,0.88,All,10.120000000000001,Science Educational All,50
Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,Monday,Religious,Yes,0.47,Morning,10.105,Site Religious Morning,51
Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,Yes,Monday,Historical,Yes,0.1,Afternoon,8.950000000000001,Palace Historical Afternoon,52
Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,Monday,Scenic,Yes,0.26,Evening,9.190000000000001,Beach Scenic Evening,53
Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,Monday,Historical,Yes,0.59,Afternoon,9.885,Church Historical Afternoon,54
Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,Monday,Historical,Yes,0.95,Morning,9.825,Fort Historical Morning,55
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,Monday,Nature,Yes,0.3,Afternoon,9.649999999999999,Waterfall Nature Afternoon,56
Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0,Yes,Monday,Scenic,Yes,0.18,Evening,9.07,Beach Scenic Evening,57
Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,Yes,Monday,Historical,Yes,0.19,Evening,8.685,Fort Historical Evening,58
Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0,Yes,Monday,Historical,Yes,0.05,Afternoon,9.075,Church Historical Afternoon,59
Southern,Goa,Goa,Baga Beach,Beach,Unknown,2.0,4.5,0,Yes,Monday,Scenic,Yes,0.35,Evening,9.525,Beach Scenic Evening,60
Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2.0,4.6,0,Yes,Monday,Scenic,Yes,0.1,Evening,9.35,Beach Scenic Evening,61
Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2.0,4.6,0,Yes,Monday,Scenic,Yes,0.27,Evening,9.604999999999999,Beach Scenic Evening,62
Southern,Goa,Goa,Colva Beach,Beach,Unknown,2.0,4.3,0,Yes,Monday,Scenic,Yes,0.1,Evening,8.75,Beach Scenic Evening,63
Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,Monday,Scenic,Yes,0.3,Evening,8.85,Beach Scenic Evening,64
Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2.0,4.5,0,Yes,Monday,Scenic,Yes,0.01,Evening,9.015,Beach Scenic Evening,65
Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,Yes,Monday,Wildlife,Yes,0.03,Afternoon,7.845,Bird Sanctuary Wildlife Afternoon,66
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,Monday,Historical,Yes,0.35,Morning,9.725,Historical Historical Morning,67
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0,No,Monday,Religious,No,0.59,Evening,10.285,Temple Religious Evening,68
Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,No,Monday,Wildlife,Yes,0.08,Morning,9.12,National Park Wildlife Morning,69
Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,Monday,Nature,Yes,0.12,Evening,9.379999999999999,Site Nature Evening,70
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,9.055000000000001,Palace Historical Afternoon,71
Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,No,Monday,Religious,No,0.39,Morning,10.184999999999999,Temple Religious Morning,72
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3.0,4.9,7500,Yes,Monday,Cultural,Yes,0.1,Evening,9.950000000000001,Cultural Cultural Evening,73
Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All,10.205,Monument Historical All,74
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,Monday,Historical,Yes,0.05,All,9.075,Museum Historical All,75
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1.0,4.6,0,Yes,Monday,Recreational,Yes,0.1,Evening,9.35,Urban Development Project Recreational Evening,76
Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2.0,4.4,0,Yes,Monday,Food,Yes,0.49,Night,9.535,Market Food Night,77
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,Yes,Monday,Recreational,Yes,0.3,Afternoon,9.45,Lake Recreational Afternoon,78
Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,Yes,Monday,Educational,Yes,0.11,All,8.965,Science Educational All,79
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,Yes,Monday,Architectural,Yes,1.3,Morning,10.75,Palace Architectural Morning,80
Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2.0,4.4,300,Yes,Monday,Historical,Yes,0.51,All,9.565000000000001,Palace Historical All,81
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,Monday,Historical,Yes,0.56,All,9.64,Fort Historical All,82
Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3.0,4.6,500,No,Monday,Wildlife,Yes,0.09,All,9.334999999999999,Wildlife Sanctuary Wildlife All,83
Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,Monday,Religious,Yes,1.6,All,11.200000000000001,Temple Religious All,84
Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1.0,4.6,0,Yes,Monday,Religious,No,0.35,All,9.725,Shrine Religious All,85
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2.0,4.6,100,Yes,Monday,Historical,Yes,0.64,All,10.16,Fort Historical All,86
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2.0,4.6,40,No,Monday,Historical,Yes,1.9,All,12.049999999999999,Fort Historical All,87
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1.0,4.6,0,No,Monday,Religious,No,0.05,All,9.274999999999999,Temple Religious All,88
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2.0,4.5,50,Yes,Monday,Historical,Yes,0.32,All,9.48,Fort Historical All,89
Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2.0,4.6,100,Yes,Monday,Historical,Yes,1.5,All,11.45,Fort Historical All,90
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,Monday,Historical,Yes,0.3,All,9.45,Fort Historical All,91
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1.0,4.6,0,Yes,Monday,Nature,Yes,0.5,All,9.95,Lake Nature All,92
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,Monday,Spiritual,Yes,1.9,All,12.65,Religious Site Spiritual All,93
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1.0,4.8,0,Yes,Monday,Historical,Yes,0.3,Afternoon,10.049999999999999,Memorial Historical Afternoon,94
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2.0,4.8,0,Yes,Monday,Cultural,Yes,0.17,Evening,9.855,Border Crossing Cultural Evening,95
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2.0,4.5,30,Yes,Monday,Artistic,Yes,0.5,All,9.75,Sculpture Garden Artistic All,96
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,Monday,Recreational,Yes,0.11,All,9.165,Beach Recreational All,97
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2.0,4.3,0,No,Monday,Nature,Yes,0.3,All,9.049999999999999,Scenic Area Nature All,98
Southern,Kerala,Kochi,Fort Kochi,Site,1503,1.0,4.4,0,Yes,Monday,Historical,Yes,0.1,All,8.950000000000001,Site Historical All,99
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1.0,4.7,0,Yes,Monday,Religious,No,0.46,All,10.09,Temple Religious All,100
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,Monday,Recreational,Yes,0.059,All,7.8885,Beach Recreational All,101
Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3.0,4.5,300,No,Monday,Wildlife,Yes,2.2,All,12.3,Wildlife Sanctuary Wildlife All,102
Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,No,Monday,Wildlife,Yes,0.14,All,8.81,National Park Wildlife All,103
Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2.0,3.8,50,Yes,Monday,Wildlife,Yes,0.1,All,7.75,Bird Sanctuary Wildlife All,104
Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2.0,4.6,0,Yes,Monday,Recreational,Yes,0.1,All,9.35,Beach Recreational All,105
Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,Monday,Historical,Yes,0.22,All,9.33,Fort Historical All,106
Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2.0,4.4,0,Yes,Monday,Recreational,Yes,0.68,All,9.82,Beach Recreational All,107
Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1.0,4.4,20,Yes,Monday,Historical,Yes,0.11,All,8.965,Fort Historical All,108
Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1.0,4.5,0,No,Monday,Nature,Yes,0.03,Morning,9.045,Viewpoint Nature Morning,109
Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,8.950000000000001,Cultural Cultural All,110
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,Monday,Entertainment,Yes,0.41,All,9.815,Amusement Park Entertainment All,111
Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2.0,4.6,50,Yes,Monday,Historical,Yes,2.5,All,12.95,Palace Historical All,112
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3.0,4.7,0,No,Monday,Historical,Yes,0.05,All,9.475,Site Historical All,113
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1.0,4.1,0,No,Monday,Nature,Yes,0.03,Morning,8.245,Waterfall Nature Morning,114
Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2.0,4.5,0,No,Monday,Nature,Yes,0.09,All,9.135,Beach Nature All,115
Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3.0,4.5,0,No,Monday,Nature,Yes,0.05,All,9.075,Mountain Peak Nature All,116
Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,Monday,Religious,No,0.2,All,9.5,Cave Religious All,117
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,Monday,Nature,Yes,0.23,Morning,9.545,Waterfall Nature Morning,118
Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,Monday,Recreational,Yes,0.1,All,9.15,Beach Recreational All,119
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1.0,4.7,0,Yes,Monday,Religious,No,0.49,All,10.135,Temple Religious All,120
Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,Monday,Historical,Yes,0.25,All,9.375,Mausoleum Historical All,121
Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3.0,4.4,300,No,Monday,Wildlife,Yes,0.15,Morning,9.025,National Park Wildlife Morning,122
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1.0,4.7,15,No,Monday,Religious,No,0.11,All,9.565,Temple Religious All,123
Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2.0,4.4,50,Yes,Monday,Historical,Yes,1.2,All,10.600000000000001,Fort Historical All,124
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3.0,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,9.514999999999999,Cave Historical Afternoon,125
Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2.0,4.1,300,Yes,Monday,Recreational,Yes,0.1,Afternoon,8.35,Vineyard Recreational Afternoon,126
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,Monday,Religious,No,0.69,All,10.435,Temple Religious All,127
Western,Maharastra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,Monday,Recreational,Yes,0.05,Evening,8.475,Beach Recreational Evening,128
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.0,4.7,0,No,Monday,Religious,No,0.1,All,9.55,Temple Religious All,129
Western,Maharastra,Nagpur,Deekshabhoomi,Monument,2001,1.0,4.5,0,Yes,Monday,Religious,Yes,0.11,Afternoon,9.165,Monument Religious Afternoon,130
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,Yes,Monday,Religious,No,0.9,All,10.95,Temple Religious All,131
Western,Maharastra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Monday,Historical,Yes,0.27,Afternoon,9.205,Cave Historical Afternoon,132
Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2.0,4.6,0,No,Monday,Recreational,Yes,0.065,Evening,9.2975,Beach Recreational Evening,133
Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2.0,4.4,300,No,Monday,Nature,Yes,0.05,Afternoon,8.875,Valley Nature Afternoon,134
Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,Monday,Nature,Yes,0.02,Morning,8.83,Viewpoint Nature Morning,135
Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3.0,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,10.135,Cave Historical Afternoon,136
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2.0,4.7,40,No,Monday,Cultural,Yes,0.09,Afternoon,9.535,Temples Cultural Afternoon,137
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,Monday,Historical,Yes,0.01,Afternoon,9.415000000000001,Monument Historical Afternoon,138
Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1.0,4.4,10,Yes,Monday,Historical,Yes,0.63,Afternoon,9.745000000000001,Palace Historical Afternoon,139
Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,Monday,Historical,Yes,0.4,Morning,9.6,Fort Historical Morning,140
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,Monday,Religious,No,1.2,All,11.399999999999999,Temple Religious All,141
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1.0,4.5,0,No,Monday,Nature,Yes,0.01,Morning,9.015,Waterfall Nature Morning,142
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,15,No,Monday,Nature,Yes,0.065,Morning,9.2975,Waterfall Nature Morning,143
Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3.0,4.5,100,No,Monday,Wildlife,Yes,0.1,Morning,9.15,Wildlife Sanctuary Wildlife Morning,144
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3.0,4.5,50,No,Monday,Wildlife,Yes,0.05,Morning,9.075,National Park Wildlife Morning,145
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,Monday,Historical,Yes,0.1,Afternoon,9.75,Fort Historical Afternoon,146
Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1.0,3.9,50,No,Monday,Historical,Yes,0.03,Afternoon,7.845,Site Historical Afternoon,147
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2.0,4.6,25,No,Monday,Archaeological,Yes,0.07,Afternoon,9.305,Prehistoric Site Archaeological Afternoon,148
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1.0,4.4,0,No,Monday,Religious,Yes,0.01,All,8.815000000000001,Temple Religious All,149
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,0,No,Monday,Nature,Yes,0.1,Morning,8.950000000000001,Waterfall Nature Morning,150
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1.0,4.7,0,Yes,Monday,Recreational,Yes,0.03,Morning,9.445,Scenic Point Recreational Morning,151
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2.0,4.1,0,No,Monday,Adventure,Yes,0.05,Morning,8.274999999999999,Valley Adventure Morning,152
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,Yes,Monday,Religious,No,0.15,All,9.625,Temple Religious All,153
Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Unknown,1.5,4.5,0,No,Monday,Nature,Yes,0.1,Morning,9.15,Lake Nature Morning,154
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1.0,4.8,0,No,Monday,Religious,Yes,0.025,Morning,9.6375,Monastery Religious Morning,155
Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3.0,4.5,50,No,Monday,Wildlife,Yes,0.2,All,9.3,National Park Wildlife All,156
Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2.0,4.4,0,No,Monday,Recreational,Yes,0.01,Morning,8.815000000000001,Lake Recreational Morning,157
Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,Unknown,2.0,4.5,0,No,Monday,Nature,Yes,0.01,Morning,9.015,Valley Nature Morning,158
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2.0,4.4,150,Yes,Monday,Historical,Yes,0.1,All,8.950000000000001,Fort Historical All,159
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,Yes,Monday,Agricultural,Yes,0.015,Morning,9.2225,Tea Plantation Agricultural Morning,160
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,No,Monday,Nature,Yes,0.01,Morning,9.215,Lake Nature Morning,161
